id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1707405,2020,107279507,2343825,104935681,14017805,3715327,13611657,73590892
1707553,2020,79625772,6631545,72994227,14247059,3282651,25423625,30040892
1707652,2020,222184353,1538894,206795413,96995405,628856,68655691,34855757
1707702,2020,117521877,3707681,113814196,26922681,4960384,21173142,6075799
1708205,2020,446423897,27005704,419418193,147424867,3364437,111713419,126635537
1708254,2020,220379623,34692163,18568746,37597473,5813798,116876573,25399616
1708304,2020,109394272,4379126,105015145,475318,3658937,17896621,35927788
1709005,2020,175110939,5140879,16997006,52030716,5210614,24008895,88719835
1709302,2020,74013189,80909777,659222113,52319916,37221521,393240306,17644037
1709500,2020,2543409906,307891762,2235518144,87765348,20402615,1285979052,657747594
1709807,2020,37304247,779262,36524985,13260453,1372861,4538809,17352861
1710508,2020,12129931,5527743,115771567,37779456,3332063,22414838,52245211
1710706,2020,73321609,1978029,7134358,15752593,2865466,10024126,42701396
1710904,2020,115517607,2571465,112946143,67317797,2805426,14554827,28268092
1711100,2020,56518868,3130034,53388835,24497557,1780837,7763336,19347104
1711506,2020,79171475,2254602,76916872,33214944,2238905,10618341,30844682
1711803,2020,36169445,1392037,34777408,8790527,967595,6009449,19009838
1711902,2020,1044326738,69658334,974668404,572062472,51169815,255073597,9636252
1711951,2020,79592312,1595798,77996514,37279485,1196952,8200824,31319254
1712009,2020,67460592,3200664,64259928,2852674,6937613,15539404,38930237
1712157,2020,30260657,747024,29513633,9680252,960072,3423766,15449543
1712405,2020,52158725,1579078,50579647,1774772,1523523,6348459,24959945
1712454,2020,121789555,3872643,117916912,77690358,1334118,14428684,24463752
1712504,2020,210843717,7045994,203797722,128279964,51158,32006325,38395634
1712702,2020,228036915,3262819,224774097,170521993,527067,26006129,22975305
1712801,2020,47861363,1405351,46456012,11159294,1039628,712797,27129121
1713205,2020,5937689,31537572,562231328,125005346,199051208,104274139,133900634
